,Name,Class,Lv,HP,S/M,Skl,Spd,Lck,Def,Res,Con,Mov
0,Lyn,Lord,1,16,4,7,9,5,2,0,5,5
1,Sain,Cavalier,1,19,8,4,6,4,6,0,9,7
2,Kent,Cavalier,1,20,6,6,7,2,5,1,9,7
3,Florina,Pegasus Knight,1,17,5,7,9,7,4,4,4,7
4,Wil,Archer,2,20,6,5,5,6,5,0,6,5
5,Dorcas,Fighter,3,30,7,7,6,3,3,0,14,5
6,Serra,Cleric,1,17,2,5,8,6,2,5,4,5
7,Erk,Mage,1,17,5,6,7,3,2,4,5,5
8,Rath,Nomad,7,25,8,9,10,5,7,2,8,7
9,Matthew,Thief,2,18,4,4,11,2,3,0,7,6
10,Nils,Bard,1,14,0,0,12,10,5,4,3,5
11,Lucius,Monk,3,18,7,6,10,2,1,6,6,5
12,Wallace *,Knight,12,30,13,7,5,10,15,2,13,4
13,Wallace *,General,1,34,15,9,8,10,17,5,15,5
