,class_name,hp_growth,s_or_m_growth,skl_growth,spd_growth,def_growth,res_growth,lck_growth,game,total_growths
0,Lord,90,45,40,45,15,12,40,binding blade,287
1,Master Lord,60,35,30,30,35,10,15,binding blade,215
2,Bard,45,45,30,60,0,3,70,binding blade,253
3,Dancer,45,45,30,60,0,3,70,binding blade,253
4,Transporter,10,0,0,0,0,0,0,binding blade,10
5,Mercenary (M),80,40,40,32,18,15,30,binding blade,255
6,Mercenary (F),80,40,40,32,18,15,30,binding blade,255
7,Hero (M),75,30,30,20,20,10,25,binding blade,210
8,Hero (F),75,30,30,20,20,10,25,binding blade,210
9,Myrmidon (M),70,35,40,40,15,17,30,binding blade,247
10,Myrmidon (F),70,35,40,40,15,17,30,binding blade,247
11,Swordmaster (M),65,20,30,30,15,12,25,binding blade,197
12,Swordmaster (F),65,25,30,30,15,12,25,binding blade,202
13,Thief (M),50,5,45,40,5,20,40,binding blade,205
14,Thief (F),45,5,45,40,5,20,40,binding blade,200
15,Soldier,80,50,30,20,12,10,25,binding blade,227
16,Cavalier (M),75,35,40,28,15,12,30,binding blade,235
17,Cavalier (F),75,35,40,28,15,12,30,binding blade,235
18,Paladin (M),70,25,30,18,12,17,25,binding blade,197
19,Paladin (F),70,25,35,25,12,17,25,binding blade,209
21,Knight (M),80,40,35,15,28,5,25,binding blade,228
22,Knight (F),80,40,35,15,28,5,25,binding blade,228
23,General (M),75,30,25,10,23,15,20,binding blade,198
24,General (F),75,30,35,10,23,15,20,binding blade,208
25,Fighter,85,55,35,30,15,10,15,binding blade,245
26,Warrior,80,45,25,20,16,7,15,binding blade,208
27,Brigand,82,50,30,20,10,10,15,binding blade,217
28,Pirate,75,50,35,25,10,10,15,binding blade,220
29,Berserker,58,35,25,12,10,10,15,binding blade,165
30,Archer (M),70,35,40,32,15,10,35,binding blade,237
31,Archer (F),70,35,40,32,15,10,35,binding blade,237
32,Sniper (M),65,30,30,20,15,15,30,binding blade,205
33,Sniper (F),65,30,30,20,15,15,30,binding blade,205
34,Nomad (M),65,30,40,45,12,15,30,binding blade,237
35,Nomad (F),65,30,40,45,12,15,30,binding blade,237
36,Nomad Trooper (M),60,25,30,35,15,10,25,binding blade,200
37,Nomad Trooper (F),60,25,30,35,15,10,25,binding blade,200
