,class_name,hp_growth,s_or_m_growth,skl_growth,spd_growth,lck_growth,def_growth,res_growth,total_growths
0,Archer (F),70,35,40,32,35,15,20,247
1,Archer (M),70,35,40,32,35,15,15,242
2,Archsage,45,45,30,25,15,10,35,205
3,Assassin,50,5,45,40,40,5,20,205
4,Bard,45,45,30,60,70,0,13,263
5,Berserker,75,50,35,25,15,10,13,223
6,Bishop (F),45,35,25,22,40,8,50,225
7,Bishop (M),45,35,25,22,40,8,40,215
8,Blade Lord,90,45,40,45,40,15,12,287
9,Brigand,82,50,30,20,15,10,13,220
10,Cavalier (F),75,35,40,28,30,15,15,238
11,Cavalier (M),75,35,40,28,30,15,15,238
12,Civilian,10,0,0,0,0,0,10,20
13,Cleric,50,30,35,32,45,8,50,250
14,Corsair,75,50,35,25,15,10,13,223
15,Dancer,45,45,30,60,70,0,13,263
16,Dark Druid,45,55,30,25,20,10,35,220
17,Druid (F),45,55,30,25,20,10,35,220
18,Druid (M),45,55,30,25,20,10,35,220
19,Falcon Knight,60,30,30,30,30,12,30,222
21,Fighter,85,55,35,30,15,15,15,250
22,Fire Dragon,95,40,30,20,25,0,20,230
23,General (F),75,30,25,10,20,23,25,208
24,General (M),75,30,20,10,20,23,25,203
25,Great Lord,90,45,40,45,40,15,20,295
26,Hero (F),75,30,30,20,25,20,20,220
27,Hero (M),75,30,30,20,25,20,20,220
28,Knight (F),80,40,30,15,25,28,20,238
29,Knight (M),80,40,30,15,25,28,20,238
30,Knight Lord,90,45,40,45,40,15,15,290
31,Lord (Eliwood),90,45,40,45,40,15,15,290
32,Lord (Hector),90,45,40,45,40,15,12,287
33,Lord (Lyn),90,45,40,45,40,15,20,295
34,Mage (F),55,55,40,35,20,5,40,250
35,Mage (M),55,55,40,35,20,5,30,240
36,Magic Seal,45,45,30,25,15,10,35,205
37,Mercenary (F),80,40,40,32,30,18,30,270
38,Mercenary (M),80,40,40,32,30,18,20,260
39,Monk,50,30,35,32,45,8,40,240
40,Myrmidon (F),70,35,40,40,30,15,20,250
41,Myrmidon (M),70,35,40,40,30,15,20,250
43,Nomad Trooper (F),60,25,30,35,25,15,20,210
44,Nomad Trooper (M),60,25,30,35,25,15,15,205
45,Nomad (F),65,30,40,45,30,12,15,237
46,Nomad (M),65,30,40,45,30,12,15,237
47,Paladin (F),70,25,35,25,25,12,25,217
48,Paladin (M),70,25,30,18,25,12,20,200
49,Pegasus Knight,65,35,40,40,35,12,35,262
50,Pirate,75,50,35,25,15,10,13,223
51,Prince,10,0,0,0,0,0,10,20
52,Sage (Limstella),45,45,30,25,15,10,40,210
53,Sage (F),45,45,30,25,15,10,40,210
54,Sage (M),45,45,30,25,15,10,40,210
55,Shaman (F),50,45,32,30,20,10,40,227
56,Shaman (M),50,50,32,30,20,10,30,222
57,Sniper (F),65,30,30,20,30,15,25,215
58,Sniper (M),65,30,30,20,30,15,20,210
59,Soldier,80,50,30,20,25,12,15,232
60,Swordmaster (F),65,25,30,30,25,15,22,212
61,Swordmaster (M),65,25,30,30,25,15,22,212
62,Thief (F),45,5,45,40,40,5,25,205
64,Thief (M),50,5,45,40,40,5,20,205
65,Transporter (Wagon),10,0,0,0,0,0,10,20
66,Transporter (Tent),10,0,0,0,0,0,10,20
67,Troubadour,50,25,35,55,45,12,40,262
68,Valkyie,45,35,25,45,40,10,40,240
69,Warrior,80,45,25,20,15,16,17,218
70,Wyvern Lord (F),75,40,30,20,20,20,17,222
71,Wyvern Lord (M),75,40,30,20,20,20,17,222
72,Wyvern Rider (F),80,45,35,30,25,25,17,257
73,Wyvern Rider (M),80,45,35,30,25,25,15,255
