,class_name,hp_growth,s_or_m_growth,skl_growth,spd_growth,lck_growth,def_growth,res_growth,total_growths
0,Lord (M),90,45,40,45,40,15,15,290
1,Lord (F),90,45,40,45,40,15,20,295
2,Great Lord (M),90,45,40,45,40,15,15,290
3,Great Lord (F),90,45,40,45,40,15,20,295
4,Dancer,45,45,30,60,70,0,13,263
5,Soldier,80,50,30,20,25,12,15,232
6,Cavalier (M),75,35,40,28,30,15,15,238
7,Cavalier (F),75,35,40,28,30,15,15,238
8,Paladin (M),70,25,30,18,25,12,20,200
9,Paladin (F),70,25,35,25,25,12,25,217
10,Great Knight (M),70,30,20,15,20,21,20,196
11,Great Knight (F),70,30,25,20,20,21,22,208
12,Knight (M),80,40,30,15,25,28,20,238
13,Knight (F),80,40,30,15,25,28,20,238
14,General (M),75,30,20,10,20,23,25,203
15,General (F),75,30,25,10,20,23,25,208
16,Mercenary (M),80,40,40,32,30,18,20,260
17,Mercenary (F),80,40,40,32,30,18,30,270
18,Hero (M),75,30,30,20,25,20,20,220
19,Hero (F),75,30,30,20,25,20,20,220
21,Myrmidon (M),70,35,40,40,30,15,20,250
22,Myrmidon (F),70,35,40,40,30,15,20,250
23,Swordmaster (M),65,25,30,30,25,15,22,212
24,Swordmaster (F),65,25,30,30,25,15,22,212
25,Assassin (M),50,5,45,40,40,5,20,205
26,Assassin (F),50,5,45,40,40,5,20,205
27,Thief,50,5,45,40,40,5,20,205
28,Rogue,50,10,45,35,40,5,20,205
29,Archer (M),70,35,40,32,35,15,15,242
30,Archer (F),70,35,40,32,35,15,20,247
31,Sniper (M),65,30,30,20,30,15,20,210
32,Sniper (F),65,30,30,20,30,15,25,215
33,Ranger (M),60,25,30,35,25,15,15,205
34,Ranger (F),60,25,30,35,25,15,20,210
35,Wyvern Rider (M),80,45,35,30,25,25,15,255
36,Wyvern Rider (F),80,45,35,30,25,25,17,257
37,Wyvern Lord (M),75,40,30,20,20,20,17,222
38,Wyvern Lord (F),75,40,30,20,20,20,17,222
39,Wyvern Knight (M),65,35,30,30,25,15,17,217
40,Wyvern Knight (F),65,35,30,30,25,15,20,220
42,Mage (M),55,55,40,35,20,5,30,240
43,Mage (F),55,55,40,35,20,5,40,250
44,Sage (M),45,45,30,25,15,10,40,210
45,Sage (F),45,45,30,25,15,10,40,210
46,Mage Knight (M),45,40,30,40,30,10,40,235
47,Mage Knight (F),45,40,30,40,40,10,40,245
48,Monk,50,30,35,32,45,8,40,240
49,Priest,50,30,35,32,45,8,50,250
50,Cleric,50,30,35,32,45,8,50,250
51,Bishop (M),45,35,25,22,40,8,40,215
52,Bishop (F),45,35,25,22,40,8,50,225
53,Shaman (M),50,50,32,30,20,10,30,222
54,Shaman (F),50,45,32,30,20,10,40,227
55,Druid (M),45,55,30,25,20,10,35,220
56,Druid (F),45,55,30,25,20,10,35,220
57,Summoner (M),45,50,30,25,20,8,35,213
58,Summoner (F),45,50,30,25,20,8,35,213
59,Journeyman (all),85,55,40,32,40,18,20,290
60,Recruit (all),75,45,40,40,40,25,35,300
61,Pupil (all),55,55,40,35,40,10,30,265
63,Manakete (M),95,40,30,20,25,0,10,220
64,Manakete (F),95,40,30,20,25,0,10,220
65,Fighter,85,55,35,30,15,15,15,250
66,Warrior,80,45,25,20,15,16,17,218
67,Brigand,82,50,30,20,15,10,13,220
68,Pirate,75,50,35,25,15,10,13,223
69,Berserker,75,50,35,25,15,10,13,223
70,Pegasus Knight,65,35,40,40,35,12,35,262
71,Falcon Knight,60,30,30,30,30,12,30,222
72,Troubadour,50,25,35,55,45,12,40,262
73,Valkyrie,45,35,25,45,40,10,40,240
74,Necromancer,45,55,30,25,20,10,35,220
75,Fleet,75,35,40,32,15,15,15,227
76,Phantom,0,55,35,45,50,15,15,215
77,Revenant,95,50,30,20,10,10,13,228
78,Entombed,85,40,25,17,50,10,13,240
79,Bonewalker (melee),80,50,30,20,10,12,15,217
80,Bonewalker (bow),70,35,40,32,10,15,15,217
81,Wight (melee),65,25,25,20,10,15,22,182
82,Weight (bow),65,30,30,20,10,15,20,190
84,Bael,82,50,30,20,15,18,13,228
85,Elder Bael,85,45,25,20,10,21,17,223
86,Cyclops,95,30,35,25,10,24,25,244
87,Mauthedoog,70,35,45,45,30,15,20,260
88,Gwyllgi,65,28,35,35,25,16,22,226
89,Tarvos,80,35,40,28,10,15,15,223
90,Maelduin,75,30,30,18,10,13,20,196
91,Mogall,50,45,32,30,30,10,28,225
92,Arch Mogall,45,55,30,25,20,10,28,213
93,Gorgon Egg,100,0,0,0,0,0,0,100
94,Gorgon,45,60,30,25,30,10,40,240
95,Gargoyle,80,45,35,35,10,25,15,245
96,Deathgoyle,75,40,30,25,10,20,17,217
97,Dracozombie,85,35,20,20,25,30,10,225
98,Demon King,95,40,30,20,25,20,20,250
99,Civilian,10,0,0,0,0,0,10,20
100,Pontifex,10,0,0,0,0,0,10,20
