class_name,hp_growth,s_or_m_growth,skl_growth,spd_growth,def_growth,res_growth,lck_growth,game,total_growths
Lord,90,45,40,45,15,12,40,binding blade,287
Master Lord,60,35,30,30,35,10,15,binding blade,215
Bard,45,45,30,60,0,3,70,binding blade,253
Dancer,45,45,30,60,0,3,70,binding blade,253
Transporter,10,0,0,0,0,0,0,binding blade,10
Mercenary (M),80,40,40,32,18,15,30,binding blade,255
Mercenary (F),80,40,40,32,18,15,30,binding blade,255
Hero (M),75,30,30,20,20,10,25,binding blade,210
Hero (F),75,30,30,20,20,10,25,binding blade,210
Myrmidon (M),70,35,40,40,15,17,30,binding blade,247
Myrmidon (F),70,35,40,40,15,17,30,binding blade,247
Swordmaster (M),65,20,30,30,15,12,25,binding blade,197
Swordmaster (F),65,25,30,30,15,12,25,binding blade,202
Thief (M),50,5,45,40,5,20,40,binding blade,205
Thief (F),45,5,45,40,5,20,40,binding blade,200
Soldier,80,50,30,20,12,10,25,binding blade,227
Cavalier (M),75,35,40,28,15,12,30,binding blade,235
Cavalier (F),75,35,40,28,15,12,30,binding blade,235
Paladin (M),70,25,30,18,12,17,25,binding blade,197
Paladin (F),70,25,35,25,12,17,25,binding blade,209
Knight (M),80,40,35,15,28,5,25,binding blade,228
Knight (F),80,40,35,15,28,5,25,binding blade,228
General (M),75,30,25,10,23,15,20,binding blade,198
General (F),75,30,35,10,23,15,20,binding blade,208
Fighter,85,55,35,30,15,10,15,binding blade,245
Warrior,80,45,25,20,16,7,15,binding blade,208
Brigand,82,50,30,20,10,10,15,binding blade,217
Pirate,75,50,35,25,10,10,15,binding blade,220
Berserker,58,35,25,12,10,10,15,binding blade,165
Archer (M),70,35,40,32,15,10,35,binding blade,237
Archer (F),70,35,40,32,15,10,35,binding blade,237
Sniper (M),65,30,30,20,15,15,30,binding blade,205
Sniper (F),65,30,30,20,15,15,30,binding blade,205
Nomad (M),65,30,40,45,12,15,30,binding blade,237
Nomad (F),65,30,40,45,12,15,30,binding blade,237
Nomad Trooper (M),60,25,30,35,15,10,25,binding blade,200
Nomad Trooper (F),60,25,30,35,15,10,25,binding blade,200
Pegasus Knight,65,35,40,40,12,25,35,binding blade,252
Falcon Knight,60,30,30,30,12,20,30,binding blade,212
Wyvern Rider (M),80,45,35,30,25,10,25,binding blade,250
Wyvern Rider (F),80,45,35,30,25,10,25,binding blade,250
Wyvern Lord (M),75,40,30,20,20,7,20,binding blade,212
Wyvern Lord (F),75,40,30,20,20,7,20,binding blade,212
Mage (M),55,55,40,35,5,35,20,binding blade,245
Mage (F),55,55,40,35,5,35,20,binding blade,245
Sage (M),45,45,30,25,10,25,15,binding blade,195
Sage (F),45,45,30,25,10,25,15,binding blade,195
Shaman (M),50,50,32,30,10,37,20,binding blade,229
Shaman (F),50,45,32,30,10,37,20,binding blade,224
Druid (M),45,55,30,25,10,27,20,binding blade,212
Druid (F),45,55,30,25,10,27,20,binding blade,212
Priest (M),50,30,35,32,8,50,45,binding blade,250
Priest (F),50,30,35,32,8,50,45,binding blade,250
Bishop (M),45,35,25,22,8,40,40,binding blade,215
Bishop (F),45,35,25,22,8,40,40,binding blade,215
Troubadour,50,25,35,55,12,30,45,binding blade,252
