,base_class,promoted_class,hp_gain,s_or_m_gain,skl_gain,spd_gain,def_gain,res_gain,con_gain,mov_gain,total_gains
0,Lord (Eirika),Great Lord (Eirika),4,2,2,1,3,5,2,2,21
1,Lord (Ephraim),Great Lord (Ephraim),4,2,3,2,2,5,2,2,22
2,Recruit,Cavalier (F),1,0,2,2,0,2,3,3,13
3,Recruit,Knight (F),2,1,1,1,2,0,4,0,11
4,Recruit,Recruit (2),2,1,1,1,2,1,0,1,9
5,Cavalier (M),Paladin (M),2,1,1,1,2,1,2,1,11
6,Cavalier (F),Paladin (F),1,1,1,2,1,2,0,1,9
7,Cavalier (M),Great Knight (M),3,2,1,2,2,1,4,-1,14
8,Cavalier (F),Great Knight (F),3,1,1,2,2,2,1,-1,11
9,Knight (M),General (M),4,2,2,3,2,3,2,1,19
10,Knight (F),General (F),3,2,3,2,3,3,1,1,18
11,Knight (M),Great Knight (M),3,2,1,2,2,1,0,2,13
12,Knight (F),Great Knight (F),3,1,1,2,2,2,0,2,13
13,Recruit (2),Paladin (F),1,1,1,2,1,2,3,3,14
14,Recruit (2),Recruit (3),2,2,1,1,2,1,0,1,10
15,Thief,Assassin,3,1,0,0,2,2,2,0,10
16,Thief,Rogue,2,1,1,0,2,2,1,0,9
17,Mercenary,Hero,4,1,2,2,2,2,2,1,16
18,Mercenary,Ranger (M),3,2,1,1,3,3,0,2,15
19,Myrmidon (M),Swordmaster (M),5,2,0,0,2,1,1,1,12
21,Myrmidon (F),Swordmaster (F),4,2,1,0,2,1,2,1,13
22,Myrmidon (M),Assassin (M),3,1,0,0,2,2,0,1,9
23,Myrmidon (F),Assassin (F),2,1,1,1,2,1,1,1,10
24,Archer (M),Sniper (M),3,1,2,2,2,3,1,1,15
25,Archer (F),Sniper (F),4,3,1,1,2,2,1,1,15
26,Archer (M),Ranger (M),3,2,1,1,3,3,2,2,17
27,Archer (F),Ranger (F),2,2,2,1,3,3,3,2,18
28,Wyvern Rider,Wyvern Lord,4,2,2,0,2,0,1,1,12
29,Wyvern Rider,Wyvern Knight (M),3,1,2,3,0,1,0,1,11
30,Pupil,Mage (M),1,0,1,2,1,2,1,1,9
31,Pupil,Shaman (M),1,2,0,1,1,2,2,1,10
32,Pupil,Pupil (2),2,1,1,0,2,2,0,1,9
33,Mage (M),Sage (M),4,1,0,0,3,3,1,1,13
34,Mage (F),Sage (F),3,1,1,0,3,3,1,1,13
35,Mage (M),Mage Knight (M),4,2,0,0,2,2,2,2,14
36,Mage (F),Mage Knight (F),3,2,1,0,2,2,3,2,15
37,Shaman,Druid,4,0,0,3,2,2,1,1,13
38,Shaman,Summoner,3,0,1,3,1,3,1,1,13
39,Pupil (2),Sage (M),4,1,0,0,3,3,2,1,14
40,Pupil (2),Pupil (3),4,2,0,1,3,3,0,1,14
42,Priest,Bishop (M),3,2,1,0,3,2,2,1,14
43,Priest,Sage (M),4,1,0,0,3,3,2,1,14
44,Monk,Bishop (M),3,2,1,0,3,2,1,1,13
45,Monk,Sage (M),4,1,0,0,3,3,1,1,13
46,Cleric,Bishop (F),3,1,2,1,2,2,1,1,13
47,Cleric,Valkyrie,3,2,1,0,2,3,2,2,15
48,Journeyman,Fighter,2,2,1,0,0,1,3,1,10
49,Journeyman,Pirate,2,2,0,1,1,0,2,1,9
50,Journeyman,Journeyman (2),2,0,2,0,2,2,0,1,9
51,Fighter,Warrior,3,1,2,0,3,3,2,1,15
52,Fighter,Hero,4,1,2,2,2,2,0,1,14
53,Pirate,Berserker,4,1,1,1,2,2,3,1,15
54,Pirate,Warrior,3,1,2,0,3,3,3,1,16
55,Journeyman (2),Hero,4,1,2,2,2,2,3,1,17
56,Journeyman (2),Journeyman (3),4,1,2,2,2,2,0,1,14
57,Pegasus Knight,Falcoknight,5,2,0,2,2,2,1,1,15
58,Pegasus Knight,Wyvern Knight (F),3,2,1,2,1,1,4,1,15
59,Troubadour,Valkyrie,3,2,1,0,2,3,1,1,13
60,Troubadour,Mage Knight (F),3,2,1,0,2,2,1,1,12
