base_class,promoted_class,hp_gain,s_or_m_gain,skl_gain,spd_gain,def_gain,res_gain,con_gain,mov_gain,game,total_gains
Lord,Master Lord,4,2,3,2,2,5,2,1,binding blade,21
Mercenary (M),Hero (M),4,2,1,2,4,2,1,1,binding blade,17
Mercenary (F),Hero (F),6,3,5,5,4,3,1,1,binding blade,28
Myrmidon (M),Swordmaster (M),5,2,2,1,3,2,1,1,binding blade,17
Myrmidon (F),Swordmaster (F),4,3,2,2,3,2,1,1,binding blade,18
Cavalier (M),Paladin (M),3,2,2,2,2,3,2,1,binding blade,17
Cavalier (F),Paladin (F),5,1,3,8,1,6,1,1,binding blade,26
Knight (M),General (M),4,3,2,3,4,3,2,1,binding blade,22
Knight (F),General (F),4,4,2,4,3,3,1,1,binding blade,22
Fighter,Warrior,8,3,3,2,3,0,2,1,binding blade,22
Brigand,Berserker,4,2,5,2,3,0,1,1,binding blade,18
Pirate,Berserker,5,3,4,1,3,0,3,1,binding blade,20
Archer (M),Sniper (M),3,3,3,2,2,2,1,1,binding blade,17
Archer (F),Sniper (F),2,3,3,3,2,3,1,1,binding blade,18
Nomad (M),Nomad Trooper (M),5,2,2,2,2,3,1,1,binding blade,18
Nomad (F),Nomad Trooper (F),6,2,1,1,2,4,1,1,binding blade,18
Pegasus Knight,Falcon Knight,6,2,2,2,2,2,1,1,binding blade,18
Wyvern Rider (M),Wyvern Lord (M),5,2,2,2,2,1,1,1,binding blade,16
Wyvern Rider (F),Wyvern Lord (F),5,2,2,2,2,2,1,1,binding blade,17
Mage (M),Sage (M),4,4,2,1,2,2,1,1,binding blade,17
Mage (F),Sage (F),3,3,3,3,1,2,1,1,binding blade,17
Shaman (M),Druid (M),3,4,2,2,2,2,1,1,binding blade,17
Shaman (F),Druid (F),2,4,2,3,2,2,1,1,binding blade,17
Priest (M),Bishop (M),3,3,3,2,2,3,1,1,binding blade,18
Priest (F),Bishop (F),3,3,3,2,2,3,1,1,binding blade,18
Troubadour,Valkyria,4,3,2,2,2,3,1,1,binding blade,18
Lord (Lyn),Blade Lord,3,2,2,0,3,5,1,1,blazing blade,17
Lord (Eliwood),Knight Lord,4,2,0,1,1,3,2,2,blazing blade,15
Lord (Hector),Great Lord,3,0,2,3,1,5,2,0,blazing blade,16
Cavalier (M),Paladin (M),2,1,1,1,2,1,2,1,blazing blade,11
Armour Knight (M),General (M),4,2,2,3,2,3,2,1,blazing blade,19
Mercenary (M),Hero (M),4,0,2,2,2,2,1,1,blazing blade,14
Myrmidon (M),Swordmaster (M),5,2,0,0,2,1,1,1,blazing blade,12
Thief,Assassin,3,1,0,0,2,2,0,0,blazing blade,8
Archer (M),Sniper (M),3,1,2,2,2,3,1,1,blazing blade,15
Archer (F),Sniper (F),4,3,1,1,2,2,1,1,blazing blade,15
Nomad (M),Nmd Trooper (M),3,2,1,1,3,3,1,1,blazing blade,15
Wyvern Rider (M),Wyvern Lord (M),4,0,2,2,0,2,1,1,blazing blade,12
Mage (M),Sage (M),4,1,0,0,3,3,1,1,blazing blade,13
Mage (F),Sage (F),3,1,1,0,3,3,1,1,blazing blade,13
Monk,Bishop (M),3,2,1,0,3,2,1,1,blazing blade,13
Cleric,Bishop (F),3,1,2,1,2,2,1,1,blazing blade,13
Shaman (M),Druid (M),4,0,0,3,2,2,1,1,blazing blade,13
Fighter,Warrior,3,1,2,0,3,3,2,1,blazing blade,15
Bandit,Berserker,4,1,1,1,2,2,3,1,blazing blade,15
Pirate,Berserker,4,1,1,1,2,2,3,1,blazing blade,15
Pegasus Knight (F),Falcoknight,5,2,0,0,2,2,1,1,blazing blade,13
Troubadour,Valkyrie,3,2,1,0,2,3,1,1,blazing blade,13
Lord (Eirika),Great Lord (Eirika),4,2,2,1,3,5,2,2,sacred stones,21
Lord (Ephraim),Great Lord (Ephraim),4,2,3,2,2,5,2,2,sacred stones,22
Recruit,Cavalier (F),1,0,2,2,0,2,3,3,sacred stones,13
Recruit,Knight (F),2,1,1,1,2,0,4,0,sacred stones,11
Recruit,Recruit (2),2,1,1,1,2,1,0,1,sacred stones,9
Cavalier (M),Paladin (M),2,1,1,1,2,1,2,1,sacred stones,11
Cavalier (F),Paladin (F),1,1,1,2,1,2,0,1,sacred stones,9
Cavalier (M),Great Knight (M),3,2,1,2,2,1,4,-1,sacred stones,14
Cavalier (F),Great Knight (F),3,1,1,2,2,2,1,-1,sacred stones,11
Knight (M),General (M),4,2,2,3,2,3,2,1,sacred stones,19
Knight (F),General (F),3,2,3,2,3,3,1,1,sacred stones,18
Knight (M),Great Knight (M),3,2,1,2,2,1,0,2,sacred stones,13
Knight (F),Great Knight (F),3,1,1,2,2,2,0,2,sacred stones,13
Recruit (2),Paladin (F),1,1,1,2,1,2,3,3,sacred stones,14
Recruit (2),Recruit (3),2,2,1,1,2,1,0,1,sacred stones,10
Thief,Assassin,3,1,0,0,2,2,2,0,sacred stones,10
Thief,Rogue,2,1,1,0,2,2,1,0,sacred stones,9
Mercenary,Hero,4,1,2,2,2,2,2,1,sacred stones,16
Mercenary,Ranger (M),3,2,1,1,3,3,0,2,sacred stones,15
Myrmidon (M),Swordmaster (M),5,2,0,0,2,1,1,1,sacred stones,12
Myrmidon (F),Swordmaster (F),4,2,1,0,2,1,2,1,sacred stones,13
Myrmidon (M),Assassin (M),3,1,0,0,2,2,0,1,sacred stones,9
Myrmidon (F),Assassin (F),2,1,1,1,2,1,1,1,sacred stones,10
Archer (M),Sniper (M),3,1,2,2,2,3,1,1,sacred stones,15
Archer (F),Sniper (F),4,3,1,1,2,2,1,1,sacred stones,15
Archer (M),Ranger (M),3,2,1,1,3,3,2,2,sacred stones,17
Archer (F),Ranger (F),2,2,2,1,3,3,3,2,sacred stones,18
Wyvern Rider,Wyvern Lord,4,2,2,0,2,0,1,1,sacred stones,12
Wyvern Rider,Wyvern Knight (M),3,1,2,3,0,1,0,1,sacred stones,11
Pupil,Mage (M),1,0,1,2,1,2,1,1,sacred stones,9
Pupil,Shaman (M),1,2,0,1,1,2,2,1,sacred stones,10
Pupil,Pupil (2),2,1,1,0,2,2,0,1,sacred stones,9
Mage (M),Sage (M),4,1,0,0,3,3,1,1,sacred stones,13
Mage (F),Sage (F),3,1,1,0,3,3,1,1,sacred stones,13
Mage (M),Mage Knight (M),4,2,0,0,2,2,2,2,sacred stones,14
Mage (F),Mage Knight (F),3,2,1,0,2,2,3,2,sacred stones,15
Shaman,Druid,4,0,0,3,2,2,1,1,sacred stones,13
Shaman,Summoner,3,0,1,3,1,3,1,1,sacred stones,13
Pupil (2),Sage (M),4,1,0,0,3,3,2,1,sacred stones,14
Pupil (2),Pupil (3),4,2,0,1,3,3,0,1,sacred stones,14
Priest,Bishop (M),3,2,1,0,3,2,2,1,sacred stones,14
Priest,Sage (M),4,1,0,0,3,3,2,1,sacred stones,14
