,name,hp_growth,s_or_m_growth,skl_growth,spd_growth,lck_growth,def_growth,res_growth,total_growths
0,Roy,80,40,50,40,60,25,30,325
1,Marcus,60,25,20,25,20,15,20,185
2,Allen,85,45,40,45,40,25,10,290
3,Lance,80,40,45,50,35,20,15,285
4,Wolt,80,40,50,40,40,20,10,280
5,Bors,90,30,30,40,50,35,10,285
6,Merlinus,100,0,50,50,100,20,5,325
7,Ellen,45,50,30,20,70,5,60,280
8,Dieck,90,40,40,30,35,20,15,270
9,Wade,75,50,45,20,45,30,5,270
10,Lott,80,30,30,35,30,40,15,260
11,Thany,45,30,55,60,60,10,25,285
12,Chad,85,50,50,80,60,25,15,365
13,Lugh,50,40,50,50,35,15,30,270
14,Clarine,40,30,40,50,65,10,40,275
15,Rutger,80,30,60,50,30,20,20,290
16,Saul,60,40,45,45,15,15,50,270
17,Dorothy,85,50,45,45,35,15,15,290
18,Sue,55,30,55,65,50,10,15,280
19,Zealot,75,25,20,20,15,30,15,200
21,Treck,85,40,30,35,50,30,5,275
22,Noah,75,30,45,30,40,30,10,260
23,Astohl,90,35,40,50,15,20,20,270
24,Lilina,45,75,20,35,50,10,35,270
25,Wendy,85,40,40,40,45,30,10,290
26,Barth,100,60,25,20,20,40,2,267
27,Oujay,85,40,30,45,55,20,15,290
28,Fir,75,25,50,55,50,15,20,290
29,Shin,75,45,50,50,25,10,15,270
30,Gonzales,90,60,15,50,35,25,5,280
31,Geese,85,50,30,40,40,20,10,275
32,Klein,60,35,40,45,50,15,25,270
33,Tate,60,40,45,55,40,15,20,275
34,Lalum,70,10,5,70,80,20,30,285
35,Echidna,75,30,25,30,20,15,15,210
36,Elphin,80,5,5,65,65,25,55,300
37,Bartre,70,40,20,30,20,20,5,205
38,Ray,55,45,55,40,15,15,35,260
39,Cath,80,40,45,85,50,15,20,335
40,Miredy,75,50,50,45,25,20,5,270
42,Percival,75,30,25,35,20,20,10,215
43,Cecilia,60,35,45,25,25,20,25,235
44,Sofiya,60,55,40,30,20,20,55,280
45,Igrene,70,35,25,35,20,10,5,200
46,Garret,70,45,25,25,15,15,5,200
47,Fa,130,90,85,65,150,30,50,600
48,Hugh,75,30,30,45,25,20,15,240
49,Zeis,80,60,50,35,20,25,5,275
50,Douglas,60,30,30,30,20,30,5,205
51,Niime,25,15,15,15,5,15,20,110
52,Dayan,55,20,20,15,20,10,10,150
53,Juno,50,20,35,30,45,10,10,200
54,Yodel,20,30,15,10,20,10,20,125
55,Karel,210,130,140,140,120,110,100,950
