,Name,HP,Str,Mag,Dex,Spd,Lck,Def,Res,Cha
0,Protagonist,45,45,35,45,45,45,35,30,45
1,Sothis (NPC),35,30,65,40,40,65,30,60,70
0,Edelgard,40,55,45,45,40,30,35,35,60
1,Hubert,35,30,55,45,45,35,25,40,35
2,Dorothea,40,20,40,45,40,35,15,35,40
3,Ferdinand,50,45,20,40,50,40,35,20,40
4,Bernadetta,35,35,20,55,50,25,20,30,35
5,Caspar,55,45,25,45,45,40,30,20,25
6,Petra,45,40,25,50,60,45,30,15,35
7,Linhardt,30,30,45,40,40,45,30,45,20
0,Dimitri,55,60,20,50,50,25,40,20,55
1,Dedue,60,50,15,30,20,25,50,10,30
2,Felix,45,55,30,45,55,40,30,20,30
3,Mercedes,30,25,50,45,40,30,25,45,40
4,Ashe,35,35,25,55,50,40,20,35,25
5,Annette,25,30,50,50,35,35,20,30,35
6,Sylvain,55,45,30,35,50,35,40,25,40
7,Ingrid,40,35,35,40,60,45,30,40,45
0,Claude,35,40,25,60,55,45,30,25,55
1,Lorenz,55,40,40,45,40,25,30,40,35
2,Hilda,50,45,25,30,50,35,35,20,50
3,Raphael,65,50,15,35,15,35,45,10,25
4,Lysithea,20,15,60,60,50,15,10,25,25
5,Ignatz,35,35,30,50,50,55,25,35,25
6,Marianne,35,20,50,40,40,35,15,45,40
7,Leonie,40,40,20,55,60,40,40,15,40
0,Rhea (NPC),45,35,45,40,40,40,30,40,70
1,Manuela,50,35,35,40,60,35,30,25,50
2,Hanneman,40,30,55,45,20,35,25,40,35
3,Seteth,50,45,35,50,50,25,30,25,45
4,Flayn,25,25,55,45,35,15,25,50,45
5,Cyril,35,20,15,40,40,30,10,10,15
0,Jeralt (NPC),50,45,20,45,40,25,35,35,35
1,Catherine,50,50,25,40,55,30,30,20,25
2,Alois,45,45,20,35,40,30,40,20,40
3,Gilbert,55,45,20,45,30,15,45,10,35
4,Shamir,35,40,20,55,40,55,20,15,30
0,Yuri,30,40,35,40,65,45,30,35,50
1,Balthus,50,50,30,25,30,20,45,30,30
2,Constance,20,20,60,30,35,15,15,30,25
3,Hapi,35,35,45,45,40,20,15,45,25
4,Jeritza,50,50,35,35,60,30,40,25,25
5,Anna,35,35,35,45,55,45,30,40,50
