,base_class,promoted_class,hp_gain,s_or_m_gain,skl_gain,spd_gain,def_gain,res_gain,con_gain,mov_gain,game,total_gains
0,Lord,Master Lord,4,2,3,2,2,5,2,1,binding blade,21
1,Mercenary (M),Hero (M),4,2,1,2,4,2,1,1,binding blade,17
2,Mercenary (F),Hero (F),6,3,5,5,4,3,1,1,binding blade,28
3,Myrmidon (M),Swordmaster (M),5,2,2,1,3,2,1,1,binding blade,17
4,Myrmidon (F),Swordmaster (F),4,3,2,2,3,2,1,1,binding blade,18
5,Cavalier (M),Paladin (M),3,2,2,2,2,3,2,1,binding blade,17
6,Cavalier (F),Paladin (F),5,1,3,8,1,6,1,1,binding blade,26
7,Knight (M),General (M),4,3,2,3,4,3,2,1,binding blade,22
8,Knight (F),General (F),4,4,2,4,3,3,1,1,binding blade,22
9,Fighter,Warrior,8,3,3,2,3,0,2,1,binding blade,22
10,Brigand,Berserker,4,2,5,2,3,0,1,1,binding blade,18
11,Pirate,Berserker,5,3,4,1,3,0,3,1,binding blade,20
12,Archer (M),Sniper (M),3,3,3,2,2,2,1,1,binding blade,17
13,Archer (F),Sniper (F),2,3,3,3,2,3,1,1,binding blade,18
14,Nomad (M),Nomad Trooper (M),5,2,2,2,2,3,1,1,binding blade,18
15,Nomad (F),Nomad Trooper (F),6,2,1,1,2,4,1,1,binding blade,18
16,Pegasus Knight,Falcon Knight,6,2,2,2,2,2,1,1,binding blade,18
17,Wyvern Rider (M),Wyvern Lord (M),5,2,2,2,2,1,1,1,binding blade,16
18,Wyvern Rider (F),Wyvern Lord (F),5,2,2,2,2,2,1,1,binding blade,17
19,Mage (M),Sage (M),4,4,2,1,2,2,1,1,binding blade,17
21,Mage (F),Sage (F),3,3,3,3,1,2,1,1,binding blade,17
22,Shaman (M),Druid (M),3,4,2,2,2,2,1,1,binding blade,17
23,Shaman (F),Druid (F),2,4,2,3,2,2,1,1,binding blade,17
24,Priest (M),Bishop (M),3,3,3,2,2,3,1,1,binding blade,18
25,Priest (F),Bishop (F),3,3,3,2,2,3,1,1,binding blade,18
26,Troubadour,Valkyria,4,3,2,2,2,3,1,1,binding blade,18
0,Blade Lord,,3,2,2,0,3,5,1,1,blazing blade,17
1,Knight Lord,,4,2,0,1,1,3,2,2,blazing blade,15
2,Great Lord,,3,0,2,3,1,5,2,0,blazing blade,16
3,Paladin (M),,2,1,1,1,2,1,2,1,blazing blade,11
4,General (M),,4,2,2,3,2,3,2,1,blazing blade,19
5,Hero (M),,4,0,2,2,2,2,1,1,blazing blade,14
6,Swordmaster (M),,5,2,0,0,2,1,1,1,blazing blade,12
7,Assassin,,3,1,0,0,2,2,0,0,blazing blade,8
8,Sniper (M),,3,1,2,2,2,3,1,1,blazing blade,15
9,Sniper (F),,4,3,1,1,2,2,1,1,blazing blade,15
10,Nmd Trooper (M),,3,2,1,1,3,3,1,1,blazing blade,15
11,Wyvern Lord (M),,4,0,2,2,0,2,1,1,blazing blade,12
12,Sage (M),,4,1,0,0,3,3,1,1,blazing blade,13
13,Sage (F),,3,1,1,0,3,3,1,1,blazing blade,13
14,Bishop (M),,3,2,1,0,3,2,1,1,blazing blade,13
15,Bishop (F),,3,1,2,1,2,2,1,1,blazing blade,13
16,Druid (M),,4,0,0,3,2,2,1,1,blazing blade,13
17,Warrior,,3,1,2,0,3,3,2,1,blazing blade,15
18,Berserker,,4,1,1,1,2,2,3,1,blazing blade,15
19,Falcoknight,,5,2,0,0,2,2,1,1,blazing blade,13
20,Valkyrie,,3,2,1,0,2,3,1,1,blazing blade,13
